dataset,image_id,node_id,yx,r0,r1,r2,theta12_deg,m_node,R_m,c0,c1,c2,tariff_residual,qc_pass,qc_pass_strict,e0x,e0y,e1x,e1y,e2x,e2y,svd_ratio_e0,svd_ratio_e1,svd_ratio_e2,seg_variant,seg_thresh_type,seg_thresh_value,m_source_chosen,parent_ambiguous,px_size_um,note,m_angleonly,R_m_holdout,cfg_min_angle_deg,cfg_max_angle_deg,cfg_min_branch_len_px,cfg_tangent_len_px,cfg_svd_ratio_min,cfg_dedup_radius_px,cfg_strict_qc,cfg_m_min,cfg_m_max,cfg_symmetric_ratio_tol,cfg_angle_auto,cfg_angle_auto_pctl,cfg_min_angle_floor_deg,cfg_px_size_um,args_profile,args_seg_method,args_thresh_method,args_radius_jitter_frac
HRF__sato+quantile,03_dr,0,"(21, 2445)",7.357022603352864,3.108185132344564,7.357022603352864,96.47666754423301,1.7281522959470745,0.176675483584404,0.4897928237915039,0.019927602261304855,0.49027958512306213,1.0689739401121642e-15,True,True,-0.8643605709075928,-0.5028727054595947,0.41049790382385254,-0.9118615984916687,0.8597383499145508,0.5107347369194031,10.69660758972168,8.468215942382812,9.231003761291504,sato+quantile,quantile,0.13618927102967618,solver,False,,"m_sources_evaluated=['solver','symmetric','grid']",1.7281522959470745,0.176675483584404,10.0,170.0,10,16,3.0,3,True,0.2,4.0,1.08,False,5.0,10.0,,none,sato,quantile,0.0
HRF__sato+quantile,03_dr,1,"(37, 1994)",6.135772705078125,5.190385182698567,7.0,120.61617817804888,0.7066666666666666,0.36777064204216003,0.46952569484710693,0.07498542219400406,0.4554888904094696,2.6215322972557614e-16,True,True,-0.9925161004066467,0.12211380153894424,-0.5092844367027283,-0.8605983257293701,1.0,0.0,13.787676811218262,4.740452766418457,3.0,sato+quantile,quantile,0.13618927102967618,grid,True,,"m_sources_evaluated=['solver','symmetric','grid']",0.6974540710449217,0.36877235770225525,10.0,170.0,10,16,3.0,3,True,0.2,4.0,1.08,False,5.0,10.0,,none,sato,quantile,0.0
HRF__sato+quantile,03_dr,2,"(38, 1981)",6.35074504216512,2.3548316955566406,6.0,79.19905621713909,1.403333333333333,0.047616440802812576,0.31326723098754883,0.38213053345680237,0.3046022355556488,5.8955058393232e-16,True,True,-0.9025862216949463,0.43050917983055115,0.04579932242631912,-0.9989506602287292,0.9898360967636108,-0.1422128975391388,17.22005271911621,10.813741683959961,13.404304504394531,sato+quantile,quantile,0.13618927102967618,grid,True,,"m_sources_evaluated=['solver','symmetric','grid']",1.404540267586708,0.04784329608082771,10.0,170.0,10,16,3.0,3,True,0.2,4.0,1.08,False,5.0,10.0,,none,sato,quantile,0.0
HRF__sato+quantile,03_dr,3,"(66, 2333)",4.776478926340739,1.4714045127232869,1.0,128.93256422308153,0.2,0.23526078462600708,0.25162041187286377,0.3981579840183258,0.3502216041088104,1.0977876754865116e-17,True,True,-0.9964489936828613,0.08419866114854813,0.5417523980140686,-0.8405382037162781,0.3134029507637024,0.949620246887207,8.54503059387207,4.586243152618408,11.516678810119629,sato+quantile,quantile,0.13618927102967618,grid,True,,"m_sources_evaluated=['solver','symmetric','grid']",0.2,0.23526078462600708,10.0,170.0,10,16,3.0,3,True,0.2,4.0,1.08,False,5.0,10.0,,none,sato,quantile,0.0
HRF__sato+quantile,03_dr,4,"(85, 2994)",12.0,10.15966796875,10.0,126.77944432134935,0.2,0.29108667373657227,0.3438047170639038,0.4397854506969452,0.2164098471403122,4.584833886144103e-16,True,True,0.1557609885931015,0.987794816493988,-0.6162937879562378,-0.7875163555145264,0.9997556805610657,-0.022103602066636086,5.99725341796875,11.78238582611084,20.99549102783203,sato+quantile,quantile,0.13618927102967618,grid,True,,"m_sources_evaluated=['solver','symmetric','grid']",0.2,0.29108667373657227,10.0,170.0,10,16,3.0,3,True,0.2,4.0,1.08,False,5.0,10.0,,none,sato,quantile,0.0
HRF__sato+quantile,03_dr,5,"(129, 888)",7.322316964467366,2.630974054336548,2.9397106170654297,64.77230341464829,0.5420133769512178,0.17023584246635437,0.33489009737968445,0.43856552243232727,0.22654438018798828,1.439515309796561e-16,True,True,0.06237828731536865,0.9980525970458984,-0.4303049147129059,-0.9026836156845093,0.6331835389137268,-0.7740016579627991,3.0,8.77366828918457,20.1461181640625,sato+quantile,quantile,0.13618927102967618,solver,True,,"m_sources_evaluated=['solver','symmetric','grid']",0.5420133769512178,0.17023584246635437,10.0,170.0,10,16,3.0,3,True,0.2,4.0,1.08,False,5.0,10.0,,none,sato,quantile,0.0
HRF__sato+quantile,03_dr,6,"(141, 2845)",6.16002082824707,5.475727876027425,1.0,84.29446798185134,0.6749999999999999,0.06047162413597107,0.3582220673561096,0.36962977051734924,0.27214816212654114,2.7752551808469593e-16,True,True,-0.8851332068443298,0.46533772349357605,0.760021984577179,-0.6498973369598389,0.7222359776496887,0.6916467547416687,17.469406127929688,16.686763763427734,24.31255340576172,sato+quantile,quantile,0.13618927102967618,grid,True,,"m_sources_evaluated=['solver','symmetric','grid']",0.6634325385093689,0.06452728807926178,10.0,170.0,10,16,3.0,3,True,0.2,4.0,1.08,False,5.0,10.0,,none,sato,quantile,0.0
HRF__sato+quantile,03_dr,7,"(216, 1268)",2.3333333333333335,2.157378673553467,3.778069337209066,141.8573432267226,0.8966666666666665,0.10767965018749237,0.29430386424064636,0.3964248299598694,0.30927130579948425,1.4949174856067922e-16,True,True,-0.4382760226726532,-0.8988404273986816,0.8909657597541809,-0.454070508480072,-0.4202788770198822,0.9073950052261353,3.681959867477417,16.75193214416504,19.996244430541992,sato+quantile,quantile,0.13618927102967618,grid,True,,"m_sources_evaluated=['solver','symmetric','grid']",0.9099487304687501,0.11035491526126862,10.0,170.0,10,16,3.0,3,True,0.2,4.0,1.08,False,5.0,10.0,,none,sato,quantile,0.0
HRF__sato+quantile,03_dr,8,"(232, 3111)",12.147777875264486,9.966244379679361,10.048162778218588,142.12105234605647,0.2,0.21221448481082916,0.2418232262134552,0.352286696434021,0.4058900773525238,1.8487384794220464e-16,True,True,-0.9985143542289734,-0.054489657282829285,0.17864079773426056,-0.9839143753051758,0.4631158113479614,0.8862977623939514,7.932797908782959,16.618879318237305,18.508758544921875,sato+quantile,quantile,0.13618927102967618,grid,True,,"m_sources_evaluated=['solver','symmetric','grid']",0.2,0.21221448481082916,10.0,170.0,10,16,3.0,3,True,0.2,4.0,1.08,False,5.0,10.0,,none,sato,quantile,0.0
HRF__sato+quantile,03_dr,9,"(243, 1520)",11.9569304784139,3.457793394724528,7.0,50.00471903586031,0.7122498035430909,0.03473139554262161,0.3393852412700653,0.30043262243270874,0.36018213629722595,3.8833407926783507e-16,True,True,0.48229876160621643,-0.8760068416595459,-0.8875306248664856,0.4607488512992859,-0.21745912730693817,0.976069450378418,18.765392303466797,12.186244010925293,17.874582290649414,sato+quantile,quantile,0.13618927102967618,solver,True,,"m_sources_evaluated=['solver','symmetric','grid']",0.7122498035430909,0.03473139554262161,10.0,170.0,10,16,3.0,3,True,0.2,4.0,1.08,False,5.0,10.0,,none,sato,quantile,0.0
